City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,La Union,PE,-5.4,-80.75,77.83,59,100,5.93,overcast clouds
270,Siocon,PH,7.7061,122.1353,84.0,81,56,8.43,broken clouds
271,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.2,52,95,20.13,overcast clouds
272,Gombong,ID,-7.6072,109.5142,82.63,80,99,6.71,moderate rain
273,Urusha,RU,54.05,122.9,22.48,80,100,4.36,overcast clouds
274,Tasiilaq,GL,65.6145,-37.6368,35.17,93,100,14.07,light snow
275,Sitka,US,57.0531,-135.33,37.4,65,75,6.91,broken clouds
276,Fuling,CN,29.7022,107.3919,75.06,68,40,5.48,scattered clouds
277,Sorland,NO,67.667,12.6934,33.8,75,0,14.97,clear sky
278,Kensington,AU,-33.9167,151.2167,69.8,94,75,19.57,light rain
279,Chimbote,PE,-9.0853,-78.5783,71.49,79,95,5.66,overcast clouds
280,Tazovskiy,RU,67.4667,78.7,-17.34,82,11,2.1,few clouds
281,Yar-Sale,RU,66.8333,70.8333,-6.54,93,99,6.13,overcast clouds
282,Agadez,NE,19.75,10.25,87.01,10,0,13.06,clear sky
283,Eureka,US,40.8021,-124.1637,53.01,61,90,10.0,overcast clouds
284,Whyalla,AU,-33.0333,137.5833,77.0,53,0,17.27,clear sky
285,Birao,CF,10.2849,22.7882,93.58,33,99,6.6,overcast clouds
286,Teguldet,RU,57.3064,88.1667,21.07,86,100,9.55,overcast clouds
287,Borkenes,NO,68.774,16.1739,27.0,90,0,4.0,clear sky
288,Acajutiba,BR,-11.6622,-38.0172,70.65,93,0,2.71,clear sky
289,Truth Or Consequences,US,33.1284,-107.2528,44.6,26,1,9.22,clear sky
290,Tsagan Aman,RU,47.5639,46.7218,42.01,82,100,1.99,overcast clouds
291,Oistins,BB,13.0667,-59.5333,77.0,65,40,13.8,scattered clouds
292,Rajec,SK,49.089,18.6401,41.0,80,75,9.22,light snow
293,Souillac,MU,-20.5167,57.5167,86.0,58,40,11.5,scattered clouds
294,Dagana,MR,16.5165,-15.5068,66.2,52,0,7.11,clear sky
295,Fort Frances,CA,48.5999,-93.4003,30.2,59,1,6.91,clear sky
296,Severnyy,RU,50.677,36.5532,32.0,93,90,6.71,snow
297,Leningradskiy,RU,69.3833,178.4167,-18.92,88,40,6.82,scattered clouds
298,Salvacion,PH,7.9833,126.1333,80.24,81,99,6.04,overcast clouds
299,Bashtanka,UA,47.4072,32.4387,39.2,87,90,8.95,overcast clouds
300,Henties Bay,NA,-22.116,14.2845,66.0,80,7,4.0,clear sky
301,Dera Bugti,PK,29.0307,69.151,90.91,13,59,11.18,broken clouds
302,Ponta Grossa,BR,-25.095,-50.1619,60.53,98,99,2.66,overcast clouds
303,Hambantota,LK,6.1241,81.1185,84.2,74,90,6.91,light rain
304,Grindavik,IS,63.8424,-22.4338,46.4,100,90,20.71,light intensity drizzle
305,Coquimbo,CL,-29.9533,-71.3436,55.4,88,0,4.61,clear sky
306,Bata,GQ,1.8639,9.7658,84.2,79,20,3.44,few clouds
307,Concepcion Del Uruguay,AR,-32.4825,-58.2372,55.0,88,0,1.01,clear sky
308,Mandalgovi,MN,45.7625,106.2708,30.15,37,100,15.26,overcast clouds
309,Itoman,JP,26.1247,127.6694,75.2,73,75,9.22,broken clouds
310,Haimen,CN,23.1935,116.6142,80.6,61,20,6.71,few clouds
311,Shibetsu,JP,43.659,145.132,33.8,51,75,13.8,light snow
312,Ocos,GT,14.5094,-92.1933,63.0,96,4,7.2,clear sky
313,Bengkulu,ID,-3.8004,102.2655,84.18,66,97,6.44,moderate rain
314,Jacqueville,CI,5.2052,-4.4146,73.4,88,75,5.75,light rain
315,Merauke,ID,-8.4667,140.3333,82.13,80,100,9.51,overcast clouds
316,Kilindoni,TZ,-7.9139,39.6668,83.73,70,72,3.87,light rain
317,Kloulklubed,PW,7.0419,134.2556,84.2,74,75,6.91,broken clouds
318,Isangel,VU,-19.55,169.2667,77.92,85,4,14.74,clear sky
319,Calama,CL,-22.4667,-68.9333,48.2,66,0,12.66,clear sky
320,Batemans Bay,AU,-35.7167,150.1833,66.99,85,100,3.0,light rain
321,Guadix,ES,37.2993,-3.1392,45.0,53,0,5.99,clear sky
322,Buraydah,SA,26.326,43.975,87.8,35,0,2.3,clear sky
323,Nantucket,US,41.2835,-70.0995,39.0,89,88,5.59,overcast clouds
324,Charlottesville,US,38.0293,-78.4767,44.6,93,90,3.44,moderate rain
325,Waitati,NZ,-45.75,170.5667,54.0,79,4,3.0,clear sky
326,Udimskiy,RU,61.1417,45.9144,30.11,98,100,0.83,snow
327,De Aar,ZA,-30.6497,24.0123,78.48,36,0,12.84,clear sky
328,Lorengau,PG,-2.0226,147.2712,81.75,74,88,2.33,light rain
329,Port Lincoln,AU,-34.7333,135.8667,71.37,66,0,10.36,clear sky
330,Carutapera,BR,-1.195,-46.02,76.01,93,81,4.72,broken clouds
331,Kapenguria,KE,1.2511,35.0895,73.8,44,93,9.08,light rain
332,San Policarpo,PH,12.1791,125.5072,83.1,75,5,8.99,clear sky
333,Mazagao,BR,-0.115,-51.2894,75.2,94,20,3.44,few clouds
334,Nemuro,JP,43.3236,145.575,33.8,51,75,13.8,broken clouds
335,Comodoro Rivadavia,AR,-45.8667,-67.5,51.8,54,0,4.61,clear sky
336,Sao Filipe,CV,14.8961,-24.4956,71.78,74,0,6.13,clear sky
337,Taman,RU,45.2117,36.7161,50.0,66,75,17.9,broken clouds
338,Betare Oya,CM,5.6,14.0833,82.69,57,94,3.15,overcast clouds
339,Inongo,CD,-1.95,18.2667,78.64,75,85,1.74,overcast clouds
340,Tomatlan,MX,19.9333,-105.25,59.07,75,0,2.1,clear sky
341,Hualmay,PE,-11.0964,-77.6139,69.87,84,87,7.34,overcast clouds
342,Otane,NZ,-39.8833,176.6333,59.0,71,65,1.01,broken clouds
343,Alugan,PH,12.2188,125.4808,82.94,75,5,8.59,clear sky
344,Talara,PE,-4.5772,-81.2719,76.96,74,100,9.93,overcast clouds
345,Ust-Nera,RU,64.5667,143.2,-1.86,99,96,6.38,overcast clouds
346,Girne,CY,35.3417,33.3167,59.0,63,40,18.41,scattered clouds
347,Grand Gaube,MU,-20.0064,57.6608,84.0,65,0,7.0,clear sky
348,Balkanabat,TM,39.5108,54.3671,78.64,26,4,8.66,clear sky
